name,longitude,latitude,LSOA11CD,LSOA11NM
,-0.1223519,51.5319409,E01002711,Islington 021B
,0.005805,51.537519,E01003636,Newham 020E
Stow-Away Apart-Hotel,-0.1140348,51.5002783,E01032582,Lambeth 036E
The Montcalm Royal London House,-0.0857045,51.5215949,E01002704,Islington 023D
The Stratford Hotel,-0.0078357,51.5453714,E01033583,Newham 013G
,-0.4912063,51.4726814,E01002444,Hillingdon 031A
,-0.0070761,51.5069147,E01032776,Tower Hamlets 028E
,-0.4382457,51.4811147,E01002449,Hillingdon 032C
,-0.1744653,51.5157277,E01033594,Westminster 015G
Abbey Court Hotel,-0.1738726,51.5148516,E01004682,Westminster 016B
Aspen Apartments,-0.173987,51.5147957,E01004682,Westminster 016B
Ambassador Heathrow Hotel,-0.4068795,51.4473091,E01002612,Hounslow 024E
,-0.1051336,51.5078744,E01003934,Southwark 002C
Number 63,-0.1765831,51.51165,E01004694,Westminster 016C
,-0.1258011,51.510486,E01004734,Westminster 018A
Sir William Sterndale Bennett,-0.185238,51.5120396,E01004698,Westminster 017E
,-0.01562,51.5735941,E01004420,Waltham Forest 020C
,-0.015074,51.5736226,E01004423,Waltham Forest 020D
The Warwick Hotel,-0.1428971,51.4912611,E01004749,Westminster 022B
,-0.2080243,51.4972802,E01002867,Kensington and Chelsea 009C
V. I. Lenin,-0.1147423,51.5292099,E01002729,Islington 021E
,-0.2048436,51.3917054,E01003451,Merton 024D
,-0.2099091,51.5170172,E01002831,Kensington and Chelsea 004C
,-0.148246,51.5146164,E01004714,Westminster 011B
,-0.1482987,51.5146104,E01004714,Westminster 011B
,-0.1483509,51.5146044,E01004714,Westminster 011B
Vicarage Private Hotel,-0.1924813,51.5051403,E01002824,Kensington and Chelsea 008A
,-0.1834593,51.4977485,E01002887,Kensington and Chelsea 010A
,-0.0992654,51.505447,E01003927,Southwark 002A
,-0.1913028,51.498799,E01002890,Kensington and Chelsea 010C
,-0.1963344,51.4926433,E01002847,Kensington and Chelsea 015B
Sir Norman Lockyer,-0.1933758,51.4911874,E01002847,Kensington and Chelsea 015B
,-0.0079869,51.5463413,E01033583,Newham 013G
,-0.1640701,51.5220838,E01004661,Westminster 012C
,-0.1856685,51.4944564,E01002835,Kensington and Chelsea 016C
,-0.1848134,51.4939844,E01002835,Kensington and Chelsea 016C
,-0.1827224,51.4940249,E01002835,Kensington and Chelsea 016C
,0.0244985,51.5072852,E01033575,Newham 034G
,0.025027,51.5072779,E01033575,Newham 034G
,-0.4612379,51.5345706,E01002414,Hillingdon 015A
,-0.1600488,51.5159877,E01004657,Westminster 012A
the Fabian Society,-0.1431941,51.5253554,E01000946,Camden 021B
,-0.1614596,51.5000794,E01002818,Kensington and Chelsea 012A
Emile Zola,-0.0833317,51.4150053,E01001137,Croydon 001A
Lillie Langtry,-0.1596696,51.4970383,E01002863,Kensington and Chelsea 012E
Hampton by Hilton London Park Royal,-0.2863162,51.527607,E01001278,Ealing 011C
"Norman Shaw, Frederick Goodall, W.S. Gilbert",-0.3521866,51.6232349,E01002144,Harrow 004A
Mondrian Apartments & Hotel,-0.1140809,51.5608584,E01002731,Islington 007B
Christine Granville born Krystyna Skarbek,-0.190303,51.4950842,E01002812,Kensington and Chelsea 013A
Ellen Terry,-0.1910555,51.492357,E01002849,Kensington and Chelsea 017B
,-0.0420064,51.5112556,E01032769,Tower Hamlets 025F
,-0.1298011,51.5074504,E01004736,Westminster 018C
William Hazlitt,-0.1319221,51.5143711,E01004763,Westminster 013B
Charles Eamer Kempe,-0.1533193,51.5221435,E01004712,Westminster 008C
,-0.1756279,51.4930492,E01002822,Kensington and Chelsea 016B
,-0.1325588,51.5222634,E01000850,Camden 026A
,-0.1323919,51.5221076,E01000850,Camden 026A
,-0.1322812,51.5220043,E01000850,Camden 026A
,-0.1323359,51.5220553,E01000850,Camden 026A
,-0.1321696,51.5219001,E01000850,Camden 026A
,-0.1322262,51.5219529,E01000850,Camden 026A
,-0.1320937,51.5218293,E01000850,Camden 026A
,-0.1321137,51.5218479,E01000850,Camden 026A
,-0.1309793,51.5208112,E01000850,Camden 026A
,-0.1309254,51.5207614,E01000850,Camden 026A
,-0.1308167,51.5206609,E01000850,Camden 026A
,-0.1307634,51.5206117,E01000850,Camden 026A
,-0.130654,51.5205106,E01000850,Camden 026A
,-0.1307081,51.5205606,E01000850,Camden 026A
,-0.1305971,51.5204581,E01000850,Camden 026A
Premier Inn,-0.2540213,51.4867345,E01002569,Hounslow 001A
Travelodge,0.1810817,51.5786432,E01032741,Havering 013E
,-0.1247844,51.530018,E01000956,Camden 022E
,-0.1249112,51.5301839,E01000956,Camden 022E
,-0.1252802,51.5298637,E01000956,Camden 022E
,-0.1254293,51.5300183,E01000956,Camden 022E
,-0.1403912,51.5061639,E01004736,Westminster 018C
,-0.1404665,51.5057397,E01004736,Westminster 018C
,-0.4918358,51.4741843,E01002444,Hillingdon 031A
,-0.4917856,51.4741843,E01002444,Hillingdon 031A
Boston Manor Hotel,-0.3331954,51.5037765,E01001248,Ealing 035A
,-0.1629948,51.5221199,E01004661,Westminster 012C
,-0.1626435,51.5214557,E01004661,Westminster 012C
Riverside Hotel,-0.4814215,51.5148185,E01002554,Hillingdon 022F
,-0.1654264,51.4634916,E01004552,Wandsworth 008C
,0.0055738,51.5372898,E01003636,Newham 020E
,-0.0800953,51.527551,E01033706,Hackney 027F
Sky Nights Hotel,-0.4698204,51.5064564,E01002529,Hillingdon 029C
Travelodge,-0.0984099,51.4973413,E01003937,Southwark 009B
Premier Inn,0.1007575,51.376515,E01000790,Bromley 028C
,-0.0211158,51.5074689,E01004277,Tower Hamlets 033A
Adagio London Sutton Point,-0.1906562,51.360243,E01004142,Sutton 012D
ibis London Sutton Point,-0.190419,51.3602854,E01004142,Sutton 012D
Premier Inn,-0.1942052,51.3634424,E01004142,Sutton 012D
,-0.0005003,51.511298,E01032778,Tower Hamlets 028G
Phoenix Heights by Bridgestreet,-0.0218138,51.500038,E01032771,Tower Hamlets 033B
Premier Inn,0.009826,51.5128986,E01033585,Newham 034J
Barking Park Hotel,0.0774273,51.5428071,E01000012,Barking and Dagenham 015D
St George Hotel,-0.1200262,51.5682858,E01002804,Islington 001D
,-0.1149092,51.529392,E01002728,Islington 021D
,-0.1570814,51.6697602,E01001417,Enfield 011B
,-0.1156325,51.5293154,E01002728,Islington 021D
,-0.1271517,51.5147597,E01000919,Camden 028D
,-0.131814,51.5121601,E01004763,Westminster 013B
,-0.0414,51.5119307,E01032769,Tower Hamlets 025F
,-0.2155937,51.4935127,E01001871,Hammersmith and Fulham 012E
Ibis Budget London Bromley Centre,0.0170011,51.4026428,E01000675,Bromley 018B
City Inn Russell Square,-0.1257574,51.5254947,E01000853,Camden 025A
Hyatt Place London City East,-0.0681831,51.5169314,E01004309,Tower Hamlets 015D
.Kip,-0.0563545,51.5474517,E01001760,Hackney 017C
,-0.2296643,51.492623,E01001899,Hammersmith and Fulham 013D
Travelodge Finchley,-0.194852,51.6009306,E01000196,Barnet 028A
,-0.1727093,51.5445343,E01000847,Camden 014D
,-0.4575059,51.4815333,E01002447,Hillingdon 031C
,-0.4325942,51.4810688,E01002449,Hillingdon 032C
CityStay Hotel,-0.0211899,51.5277521,E01004267,Tower Hamlets 012D
hub by Premier Inn London Soho hotel,-0.1348963,51.5130669,E01033596,Westminster 013F
Travelodge,-0.108567,51.5949482,E01002026,Haringey 016A
Ibis,-0.3671005,51.4673059,E01002648,Hounslow 018C
Batty Langley's 1724,-0.077969,51.520953,E01004307,Tower Hamlets 015B
,-0.1238463,51.5218529,E01000914,Camden 028B
YOTEL London City,-0.1045591,51.522615,E01002724,Islington 022D
The Trafalgar St. James,-0.1291266,51.5073732,E01004736,Westminster 018C
Premier Inn London Paddington Basin,-0.1738102,51.5195441,E01033593,Westminster 015F
The Jesmond Dene,-0.123269,51.528941,E01000941,Camden 025C
,0.0387685,51.5083728,E01003515,Newham 036D
,0.0057233,51.5372875,E01003636,Newham 020E
Residence Inn,-0.081608,51.4986996,E01032646,Southwark 003I
,-0.1877218,51.460552,E01004514,Wandsworth 012C
TRIBE,-0.0128065,51.5030338,E01032780,Tower Hamlets 028I
,-0.1871803,51.5104788,E01004695,Westminster 017C
,-0.3297258,51.4498126,E01003897,Richmond upon Thames 014D
,-0.00426,51.5066285,E01032776,Tower Hamlets 028E
Art 'otel,-0.1452803,51.4804694,E01033132,Wandsworth 002H
Premier Inn,-0.0264235,51.509623,E01004255,Tower Hamlets 023C
Pickwick Hall Hostel,-0.1238463,51.5200303,E01000855,Camden 028A
,0.0202524,51.5081997,E01033574,Newham 034F
,-0.0073287,51.5426142,E01033583,Newham 013G
Travelodge Greenwich High Road,-0.0151734,51.4773691,E01033730,Greenwich 035D
,-0.1205244,51.5106922,E01004734,Westminster 018A
Staycity Aparthotels,-0.0185291,51.4761373,E01033730,Greenwich 035D
,-0.0141081,51.477743,E01033730,Greenwich 035D
Raya hotel Victoria,-0.1181444,51.5028523,E01003013,Lambeth 036A
,0.0097695,51.4685892,E01003200,Lewisham 009B
The Hoxton Hotel,-0.1047575,51.5058441,E01003934,Southwark 002C
Travelodge,0.0732399,51.5573261,E01003689,Redbridge 030G
Sonder St. John's Garden,-0.1019057,51.522778,E01033489,Islington 022G
Croft Court Hotel,-0.2014161,51.5759182,E01000218,Barnet 037C
,-0.2035437,51.5074894,E01002828,Kensington and Chelsea 008E
Queen's Drive Hotel,-0.1015988,51.5656775,E01001716,Hackney 007B
Best Western Highbury,-0.0993481,51.5678674,E01001716,Hackney 007B
Oyo Acton Hill Hotel,-0.2779355,51.5081885,E01001354,Ealing 027E
,0.0688444,51.5595889,E01003783,Redbridge 029A
,0.068313,51.5594282,E01003783,Redbridge 029A
,0.067982,51.5596118,E01003783,Redbridge 029A
Best Western,0.0698722,51.5604587,E01003783,Redbridge 029A
,0.067341,51.5604104,E01003783,Redbridge 029A
,0.0668336,51.5620463,E01003788,Redbridge 029D
Ruby Lucy,-0.1123214,51.5011609,E01032582,Lambeth 036E
Zedwell Piccadilly Circus,-0.1336305,51.5104287,E01004736,Westminster 018C
,-0.1186805,51.4947513,E01003013,Lambeth 036A
,0.0406331,51.5041528,E01003609,Newham 037A
The Manna House,0.0812054,51.5893257,E01003711,Redbridge 010C
,-0.1735509,51.5160805,E01033594,Westminster 015G
Sonder The Prince,-0.1183878,51.4913562,E01003112,Lambeth 002E
The Z Hotel Holborn,-0.1195495,51.5158365,E01000918,Camden 028C
Travelodge London Lewisham,-0.0124321,51.4584762,E01033327,Lewisham 012F
,-0.1244335,51.5063424,E01004736,Westminster 018C
,-0.1243012,51.506744,E01004736,Westminster 018C
,0.0429344,51.5036052,E01003609,Newham 037A
,-0.2864861,51.483281,E01003851,Richmond upon Thames 002D
,-0.0004751,51.5112882,E01032778,Tower Hamlets 028G
,-0.025357,51.5071635,E01004277,Tower Hamlets 033A
,-0.1782039,51.5119312,E01004694,Westminster 016C
King William Hotel,0.0033546,51.4848704,E01001664,Greenwich 037B
Park Lane Apartments Crawford Place,-0.1659723,51.5183901,E01004663,Westminster 012E
Ibis Styles,0.0961576,51.56411,E01003768,Redbridge 024C
Thistle Piccadilly Hotel,-0.1315185,51.5102091,E01004734,Westminster 018A
London Olympus Hotel Nirvana,0.007283,51.5425249,E01003618,Newham 012C
London Olympus Hotel,0.0077716,51.5425834,E01003618,Newham 012C
,-0.4533755,51.4698857,E01002444,Hillingdon 031A
