name,longitude,latitude,LSOA11CD,LSOA11NM
Euro Lodge Clapham,-0.1454482,51.4546813,E01003030,Lambeth 019D
Travelodge,-0.3878939,51.4883729,E01002632,Hounslow 010C
Think London Bridge,-0.0837471,51.4986958,E01032803,Southwark 003J
Blooms Town House Hotel,-0.126145,51.520142,E01000855,Camden 028A
Hyatt Place London Heathrow Airport,-0.4682172,51.4819009,E01002444,Hillingdon 031A
,-0.1728717,51.5443508,E01000847,Camden 014D
Comfort Inn Kings Cross,-0.1212142,51.5300637,E01000938,Camden 024B
Holiday Inn Express,-0.102055,51.506096,E01003934,Southwark 002C
Paul O'Gorman Patient Hotel,-0.1211741,51.5214487,E01000915,Camden 027A
Greenville Hotel,-0.1163797,51.5241502,E01000920,Camden 027D
Guildford,-0.1165432,51.5241154,E01000920,Camden 027D
Henrietta Hotel,-0.1236698,51.5109508,E01004734,Westminster 018A
Corner House Hotel,-0.1305348,51.5480801,E01000926,Camden 009E
The Clarendon,-0.1242027,51.5198344,E01000855,Camden 028A
Ambassadors Bloomsbury,-0.1297246,51.5266227,E01000943,Camden 025E
,-0.1189227,51.4945647,E01003013,Lambeth 036A
Travelodge London Whetstone,-0.1756612,51.6351333,E01000271,Barnet 008A
,-0.1149565,51.5291529,E01002729,Islington 021E
The Windmill,-0.1442608,51.4577709,E01003026,Lambeth 019A
Swinton Hotel,-0.1167506,51.5292897,E01000938,Camden 024B
Arriva Hotel,-0.1183234,51.5287473,E01000938,Camden 024B
,-0.1048222,51.5358335,E01002794,Islington 020B
MyHotel,-0.1318793,51.5188919,E01000850,Camden 026A
,-0.4411196,51.459016,E01002444,Hillingdon 031A
Cotton Rooms,-0.1363208,51.5230574,E01000854,Camden 026D
,0.0209782,51.5829203,E01003776,Redbridge 014C
,-0.4910574,51.4733895,E01002444,Hillingdon 031A
,-0.0024447,51.5373817,E01033583,Newham 013G
,-0.1361922,51.4944964,E01004744,Westminster 020D
,-0.1364609,51.494136,E01004747,Westminster 021E
Russell Hotel,-0.1419175,51.495687,E01004748,Westminster 020E
Macdonald Hotel,-0.1229874,51.5290348,E01000939,Camden 024C
Euro Hotel Clapham,-0.1446562,51.4553637,E01003026,Lambeth 019A
Heathrow Lodge,-0.4916423,51.4800323,E01002444,Hillingdon 031A
,0.0392387,51.5083505,E01003515,Newham 036D
,-0.1300896,51.5265156,E01000852,Camden 026C
,-0.1511085,51.516656,E01004714,Westminster 011B
